,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2019-10-24,59.67399978637695,60.986000061035156,57.84000015258789,59.93600082397461,59.93600082397461,148604500,TSLA,78.791145,65.6259994506836,5.689998626708984,0.0
2019-10-31,62.619998931884766,63.79999923706055,62.599998474121094,62.98400115966797,62.98400115966797,25335000,TSLA,82.12548,62.6619987487793,-0.3220024108886719,0.0
2019-11-01,63.263999938964844,63.29600143432617,61.959999084472656,62.6619987487793,62.6619987487793,31919500,TSLA,81.89108,63.49399948120117,0.832000732421875,0.0
2019-11-12,69.37999725341797,70.0739974975586,68.80799865722656,69.98600006103516,69.98600006103516,36797000,TSLA,88.18245,69.22200012207031,-0.7639999389648438,0.0
2019-11-14,69.22200012207031,70.76799774169922,68.58200073242188,69.87000274658203,69.87000274658203,32324500,TSLA,88.24266,70.43399810791016,0.563995361328125,0.0
2019-11-15,70.12799835205078,70.55999755859375,69.6719970703125,70.43399810791016,70.43399810791016,24045000,TSLA,88.807594,69.99800109863281,-0.43599700927734375,0.0
2019-11-18,70.58399963378906,70.62999725341797,69.22000122070312,69.99800109863281,69.99800109863281,22002000,TSLA,88.71204,71.90399932861328,1.9059982299804688,0.0
2019-11-20,72.0,72.23999786376953,69.91400146484375,70.44400024414062,70.44400024414062,33625500,TSLA,89.62833,70.96600341796875,0.522003173828125,0.0
2019-11-25,68.86399841308594,68.91400146484375,66.89199829101562,67.26799774169922,67.26799774169922,61697500,TSLA,86.61874,65.78399658203125,-1.4840011596679688,0.0
2019-12-12,70.98400115966797,72.5479965209961,70.64600372314453,71.93599700927734,71.93599700927734,38819500,TSLA,90.011925,71.6780014038086,-0.25799560546875,0.0
2019-12-19,79.46399688720703,81.37000274658203,79.30000305175781,80.80799865722656,80.80799865722656,90535500,TSLA,98.01179,81.11799621582031,0.30999755859375,0.0
2020-01-07,92.27999877929688,94.32599639892578,90.6719970703125,93.81199645996094,93.81199645996094,89410500,TSLA,109.668686,98.42800140380857,4.616004943847628,0.0
2020-01-17,101.52200317382812,103.13400268554688,100.63200378417969,102.0999984741211,102.0999984741211,68145500,TSLA,118.13491,109.44000244140625,7.340003967285156,0.0
